kx	ky	Q3(up)
0.437004	0.420507	0.18442
0.448209	0.426977	0.18482
0.459415	0.433446	0.185622
0.47062	0.439915	0.186805
0.481825	0.446385	0.188292
0.49303	0.452854	0.18993
0.504236	0.459323	0.191493
0.313747	0.349345	0.192728
0.324952	0.355814	0.193411
0.336157	0.362283	0.193411
0.347362	0.368753	0.192728
0.358568	0.375222	0.191493
0.369773	0.381691	0.18993
0.380978	0.388161	0.188292
0.392183	0.39463	0.186805
0.403388	0.414038	0.183659
0.414594	0.420507	0.182944
0.425799	0.426977	0.182704
0.437004	0.433446	0.182944
0.448209	0.439916	0.183658
0.459415	0.446385	0.18482
0.47062	0.452854	0.186358
0.481825	0.459324	0.188131
0.49303	0.465793	0.18993
0.504236	0.472262	0.191493
0.313747	0.362283	0.192561
0.324952	0.368753	0.192942
0.336157	0.375222	0.192561
0.347362	0.381691	0.191493
0.358568	0.388161	0.18993
0.369773	0.39463	0.188131
0.380978	0.401099	0.186358
0.392183	0.407569	0.18482
0.403388	0.426977	0.181908
0.414594	0.433446	0.181376
0.425799	0.439915	0.181376
0.437004	0.446385	0.181908
0.448209	0.452854	0.182944
0.459415	0.459323	0.18442
0.47062	0.465793	0.186212
0.481825	0.472262	0.188131
0.49303	0.478731	0.189929
0.504236	0.485201	0.191336
